mfcc,chroma,spec_contrast,tempo,filename
"[-66.78068542480469, 64.26180267333984, -9.776763916015625, 11.287590980529785, -2.4191436767578125, 9.037897109985352, -1.1133190393447876, 4.549839496612549, -5.305121421813965, 0.24452747404575348, -9.495332717895508, 2.582338333129883, -2.20363187789917]","[0.7470056414604187, 0.4655715525150299, 0.3769906759262085, 0.346401572227478, 0.2762175500392914, 0.23403975367546082, 0.27290430665016174, 0.41990044713020325, 0.3724835515022278, 0.35838159918785095, 0.37840011715888977, 0.5157336592674255]","[16.032913765295977, 15.431399236807119, 17.92563631989747, 17.80908586909766, 17.891874750849258, 17.152965584866923, 46.97352919779366]",[161.49902344],000002.mp3
"[-105.9638900756836, 86.3694839477539, 13.001236915588379, 23.292448043823242, -0.14422814548015594, 11.994685173034668, -4.714580535888672, 16.54711151123047, -5.426198482513428, -0.8908573985099792, -1.033982753753662, 8.075074195861816, 4.215068340301514]","[0.4089275598526001, 0.5785118937492371, 0.3983035385608673, 0.341029554605484, 0.3225764334201813, 0.32885199785232544, 0.37281090021133423, 0.3978345990180969, 0.48817119002342224, 0.4917796552181244, 0.5078287720680237, 0.45766395330429077]","[15.905099137017897, 14.296140889903533, 18.120681128107034, 18.714310268255126, 17.364066204780034, 16.196913392770337, 48.19623978165751]",[99.38401442],000005.mp3
"[-16.811267852783203, 93.612060546875, -47.824642181396484, 31.57790756225586, -3.7626707553863525, 1.4105149507522583, -1.5081638097763062, 1.8848594427108765, -4.522624492645264, -0.24713915586471558, -8.496405601501465, 1.502116084098816, -5.69439697265625]","[0.2836853861808777, 0.6494188904762268, 0.33062368631362915, 0.34729182720184326, 0.23140276968479156, 0.32343819737434387, 0.7007426619529724, 0.33898502588272095, 0.3810555338859558, 0.30897819995880127, 0.5693831443786621, 0.30726855993270874]","[22.712528708294645, 15.180099662531777, 17.836264930233348, 17.720274159290135, 18.426531714196937, 20.134215796797136, 48.292859738651686]",[112.34714674],000010.mp3
"[-278.1531677246094, 100.80628204345703, 37.054443359375, 34.90519714355469, 26.752946853637695, 11.046149253845215, 10.796271324157715, 4.900579452514648, 1.3271267414093018, 6.3920817375183105, -4.154795169830322, -2.221082925796509, -6.230343341827393]","[0.24283817410469055, 0.270963579416275, 0.36477187275886536, 0.34589290618896484, 0.3798617422580719, 0.4332023859024048, 0.2734304368495941, 0.23401539027690887, 0.2007073312997818, 0.27496933937072754, 0.2947467565536499, 0.2307075411081314]","[19.905672982310605, 19.317976318931134, 18.970341381684037, 17.741323790021433, 17.8638798691056, 17.666278299374817, 46.17638247295648]",[107.66601562],000140.mp3
"[-208.30751037597656, 116.04640197753906, -1.2435424327850342, 25.513240814208984, 10.181234359741211, -4.659220218658447, 7.74548864364624, -5.591128826141357, 0.43591147661209106, 1.7552578449249268, -2.862807035446167, -3.8659000396728516, -4.367316246032715]","[0.16410423815250397, 0.15320228040218353, 0.24300161004066467, 0.18674352765083313, 0.23410625755786896, 0.37378647923469543, 0.24295946955680847, 0.22538292407989502, 0.21411068737506866, 0.38549935817718506, 0.5135802626609802, 0.2143893837928772]","[21.729809012346703, 18.942681071443836, 23.338454169705027, 21.542196036539725, 19.351049958184557, 22.209791579694123, 46.638999871620676]",[103.359375],000141.mp3
"[8.258977890014648, 126.05091857910156, -27.990764617919922, 30.939363479614258, 12.647899627685547, 12.146719932556152, -1.5545101165771484, 13.96546745300293, -0.39874815940856934, 8.167107582092285, 0.15682414174079895, 6.457278728485107, 0.4603900611400604]","[0.23588567972183228, 0.23219870030879974, 0.22031676769256592, 0.3451586067676544, 0.2548442482948303, 0.25213178992271423, 0.48832622170448303, 0.4473590850830078, 0.42764875292778015, 0.5054427981376648, 0.3320018947124481, 0.2434685081243515]","[17.075045064365998, 13.94192280478575, 13.241603640013599, 15.401568485306166, 20.628134801197817, 18.881762798119073, 47.937636781662334]",[117.45383523],000148.mp3
"[-26.00397300720215, 136.4747314453125, -60.45975875854492, 43.27608108520508, -37.124542236328125, 32.3071174621582, -4.252329349517822, 13.66904354095459, 12.085603713989258, 7.21284818649292, 12.30018424987793, 12.26240348815918, 3.3637664318084717]","[0.3079776465892792, 0.2949759364128113, 0.35784149169921875, 0.47864478826522827, 0.30991095304489136, 0.46404680609703064, 0.391927033662796, 0.4526379108428955, 0.3216390311717987, 0.30028095841407776, 0.4774130582809448, 0.2766839265823364]","[24.587711412854652, 16.87659971800257, 18.378634234042952, 18.2990685805325, 17.909670096449123, 18.74169938148393, 54.51738568284212]",[143.5546875],000182.mp3
"[-139.5122833251953, 96.58260345458984, -22.870277404785156, 25.57906150817871, -7.452907085418701, -3.7879838943481445, -21.778879165649414, -7.033452033996582, -19.863571166992188, -6.059109210968018, -16.007339477539062, -5.302088260650635, -8.1822509765625]","[0.22843053936958313, 0.1515101045370102, 0.23227320611476898, 0.19972512125968933, 0.3863518536090851, 0.281149685382843, 0.2551562488079071, 0.26316937804222107, 0.26135098934173584, 0.3087398111820221, 0.1538734883069992, 0.21798299252986908]","[24.281260353974623, 19.809184664608466, 24.61028523135138, 24.10297888364044, 24.021129896064775, 23.819621880411212, 51.175241425043716]",[99.38401442],000190.mp3
"[-198.01873779296875, 120.31737518310547, -29.394861221313477, 35.39438247680664, -10.06450080871582, 4.930168628692627, -13.594505310058594, -5.6105170249938965, -16.01197624206543, -8.161907196044922, -11.371818542480469, -5.3573174476623535, -7.5002360343933105]","[0.29846253991127014, 0.4164767265319824, 0.38739773631095886, 0.4702455699443817, 0.4287865459918976, 0.32595589756965637, 0.32592955231666565, 0.19200961291790009, 0.3138330280780792, 0.3035259246826172, 0.29452553391456604, 0.27105146646499634]","[27.771214711813624, 20.03542167007444, 24.470733871868966, 25.371766932232692, 24.740013561895356, 24.544151400890303, 52.29017653181067]",[95.703125],000193.mp3
"[-184.61212158203125, 118.74082946777344, -26.51071548461914, 29.065753936767578, -8.13318157196045, 3.5976510047912598, -12.2420072555542, -1.842867136001587, -16.647686004638672, -5.960212230682373, -12.992629051208496, -2.8299314975738525, -8.447162628173828]","[0.28619471192359924, 0.2988409698009491, 0.33542773127555847, 0.24129138886928558, 0.41158533096313477, 0.3577413558959961, 0.23895473778247833, 0.24406133592128754, 0.29799675941467285, 0.42731916904449463, 0.2602509558200836, 0.2873227298259735]","[27.336363989372398, 20.472817683144132, 24.348707675800256, 23.9938888921033, 24.475500963135435, 24.948111462034117, 52.84202892332537]",[103.359375],000194.mp3
